club,name,age,nationality,position,short_pos,fee,dealing_club,dealing_country,movement,window,league,season,is_loan,loan_status
Bologna FC 1909,Mouhamadou Sarr,23,Senegal,Goalkeeper,GK,100000.0,Ascoli,Italy,out,summer,Serie A,2020,True,free loan
Bologna FC 1909,César Falletti,27,Uruguay,Attacking Midfield,AM,1400000.0,Ternana,Italy,out,summer,Serie A,2020,True,free loan
Bologna FC 1909,Fabrizio Brignani,22,Italy,Centre-Back,CB,150000.0,Vis Pesaro,Italy,out,summer,Serie A,2020,True,free loan
Bologna FC 1909,Tommaso Cassandro,20,Italy,Right-Back,RB,200000.0,Cittadella,Italy,out,summer,Serie A,2020,False,
Bologna FC 1909,Luis Binks,18,England,Centre-Back,CB,100000.0,CF Montréal,United States,out,summer,Serie A,2020,True,free loan
Bologna FC 1909,Hamza El Kaouakibi,22,Morocco,Right-Back,RB,75000.0,Südtirol,Italy,out,summer,Serie A,2020,True,free loan
Bologna FC 1909,Sebastian Breza,23,Canada,Goalkeeper,GK,100000.0,CF Montréal,United States,out,summer,Serie A,2020,True,free loan
Bologna FC 1909,Juan Manuel Valencia,22,Colombia,Central Midfield,CM,200000.0,Baltika,Russia,out,summer,Serie A,2020,True,free loan
Bologna FC 1909,Luca Rizzo,28,Italy,Central Midfield,CM,300000.0,Without Club,,out,summer,Serie A,2020,False,
Bologna FC 1909,Sebastian Breza,22,Canada,Goalkeeper,GK,100000.0,Potenza,Italy,out,summer,Serie A,2020,True,end of loan
Bologna FC 1909,Valentin Antov,20,Bulgaria,Centre-Back,CB,1000000.0,CSKA-Sofia,Bulgaria,in,winter,Serie A,2020,True,loan with fee
Bologna FC 1909,Adama Soumaoro,28,France,Centre-Back,CB,3500000.0,LOSC Lille,France,in,winter,Serie A,2020,True,free loan
Bologna FC 1909,Paolo Faragò,27,Italy,Right-Back,RB,3000000.0,Cagliari Calcio,Italy,in,winter,Serie A,2020,True,free loan
Bologna FC 1909,Stefano Denswil,27,Netherlands,Centre-Back,CB,4000000.0,Club Brugge,Belgium,out,winter,Serie A,2020,True,free loan
Bologna FC 1909,Arturo Calabresi,24,Italy,Centre-Back,CB,1800000.0,Cagliari Calcio,Italy,out,winter,Serie A,2020,True,free loan
Bologna FC 1909,Alex Cossalter,20,Italy,Left Winger,LW,50000.0,Union Feltre,Italy,out,winter,Serie A,2020,True,free loan
Bologna FC 1909,Nehuén Paz,27,Argentina,Centre-Back,CB,700000.0,Kayserispor,Turkey,out,winter,Serie A,2020,True,free loan
Bologna FC 1909,Orji Okwonkwo,23,Nigeria,Right Winger,RW,800000.0,Reggina,Italy,out,winter,Serie A,2020,True,free loan
Bologna FC 1909,Kingsley Michael,21,Nigeria,Central Midfield,CM,600000.0,Reggina,Italy,out,winter,Serie A,2020,True,free loan
Cagliari Calcio,Marko Rog,25,Croatia,Central Midfield,CM,13000000.0,SSC Napoli,Italy,in,summer,Serie A,2020,False,
Cagliari Calcio,Giovanni Simeone,25,Argentina,Centre-Forward,CF,15000000.0,Fiorentina,Italy,in,summer,Serie A,2020,False,
Cagliari Calcio,Alessandro Tripaldelli,21,Italy,Left-Back,LB,450000.0,Sassuolo,Italy,in,summer,Serie A,2020,False,
Cagliari Calcio,Zito Luvumbo,18,Angola,Right Winger,RW,,1º de Agosto,Angola,in,summer,Serie A,2020,False,
Cagliari Calcio,Diego Godín,34,Uruguay,Centre-Back,CB,5000000.0,Inter,Italy,in,summer,Serie A,2020,False,
Cagliari Calcio,Răzvan Marin,24,Romania,Central Midfield,CM,8000000.0,Ajax,Netherlands,in,summer,Serie A,2020,True,free loan
Cagliari Calcio,Gabriele Zappa,20,Italy,Right-Back,RB,2500000.0,Pescara,Italy,in,summer,Serie A,2020,True,free loan
Cagliari Calcio,Riccardo Sottil,21,Italy,Left Winger,LW,3600000.0,Fiorentina,Italy,in,summer,Serie A,2020,True,free loan
Cagliari Calcio,Matteo Tramoni,20,France,Left Winger,LW,1500000.0,AC Ajaccio,France,in,summer,Serie A,2020,False,
Cagliari Calcio,Adam Ounas,23,Algeria,Right Winger,RW,8000000.0,SSC Napoli,Italy,in,summer,Serie A,2020,True,free loan
Cagliari Calcio,Nicolò Barella,23,Italy,Central Midfield,CM,50000000.0,Inter,Italy,out,summer,Serie A,2020,False,
Cagliari Calcio,Filippo Romagna,23,Italy,Centre-Back,CB,4500000.0,Sassuolo,Italy,out,summer,Serie A,2020,False,
Cagliari Calcio,Lucas Castro,31,Argentina,Attacking Midfield,AM,2200000.0,SPAL,Italy,out,summer,Serie A,2020,False,
Cagliari Calcio,Artur Ionita,30,Moldova,Central Midfield,CM,2500000.0,Benevento,Italy,out,summer,Serie A,2020,False,
Cagliari Calcio,Diego Farias,30,Brazil,Left Winger,LW,3500000.0,Spezia Calcio,Italy,out,summer,Serie A,2020,True,loan with fee
Cagliari Calcio,Senna Miangue,23,Congo,Left-Back,LB,800000.0,KAS Eupen,Belgium,out,summer,Serie A,2020,True,free loan
Cagliari Calcio,Luca Crosta,22,Italy,Goalkeeper,GK,150000.0,Alessandria,Italy,out,summer,Serie A,2020,False,
Cagliari Calcio,Rafael,38,Brazil,Goalkeeper,GK,200000.0,Spezia Calcio,Italy,out,summer,Serie A,2020,False,
Cagliari Calcio,Luca Cigarini,34,Italy,Defensive Midfield,DM,800000.0,Crotone,Italy,out,summer,Serie A,2020,False,
Cagliari Calcio,Federico Marigosu,19,Italy,Attacking Midfield,AM,250000.0,Olbia,Italy,out,summer,Serie A,2020,True,free loan
Cagliari Calcio,Luca Gagliano,20,Italy,Centre-Forward,CF,800000.0,Olbia,Italy,out,summer,Serie A,2020,True,free loan
Cagliari Calcio,Damir Ceter,22,Colombia,Centre-Forward,CF,450000.0,Pescara,Italy,out,summer,Serie A,2020,True,free loan
Cagliari Calcio,Alessandro Deiola,25,Italy,Central Midfield,CM,1000000.0,Spezia Calcio,Italy,out,summer,Serie A,2020,True,free loan
Cagliari Calcio,Riccardo Ladinetti,19,Italy,Defensive Midfield,DM,350000.0,Olbia,Italy,out,summer,Serie A,2020,True,free loan
Cagliari Calcio,Filip Bradaric,28,Croatia,Defensive Midfield,DM,3200000.0,Al-Ain,Saudi Arabia,out,summer,Serie A,2020,True,free loan
Cagliari Calcio,Daniele Ragatzu,28,Italy,Centre-Forward,CF,400000.0,Without Club,,out,summer,Serie A,2020,False,
Cagliari Calcio,Fabrizio Cacciatore,33,Italy,Right-Back,RB,700000.0,Without Club,,out,summer,Serie A,2020,False,
Cagliari Calcio,Kiril Despodov,23,Bulgaria,Right Winger,RW,3200000.0,Ludogorets,Bulgaria,out,summer,Serie A,2020,True,free loan
Cagliari Calcio,Luca Pellegrini,21,Italy,Left Midfield,LM,13500000.0,Juventus,Italy,out,summer,Serie A,2020,True,end of loan
Cagliari Calcio,Federico Mattiello,25,Italy,Right-Back,RB,2000000.0,Atalanta BC,Italy,out,summer,Serie A,2020,True,end of loan
Cagliari Calcio,Radja Nainggolan,32,Belgium,Attacking Midfield,AM,15000000.0,Inter,Italy,out,summer,Serie A,2020,True,end of loan
Cagliari Calcio,Robin Olsen,30,Sweden,Goalkeeper,GK,6500000.0,AS Roma,Italy,out,summer,Serie A,2020,True,end of loan
Cagliari Calcio,Giovanni Simeone,25,Argentina,Centre-Forward,CF,15000000.0,Fiorentina,Italy,out,summer,Serie A,2020,True,end of loan
Cagliari Calcio,Alberto Paloschi,30,Italy,Centre-Forward,CF,1200000.0,SPAL,Italy,out,summer,Serie A,2020,True,end of loan
Cagliari Calcio,Marko Rog,25,Croatia,Central Midfield,CM,13000000.0,SSC Napoli,Italy,out,summer,Serie A,2020,True,end of loan
Cagliari Calcio,Alfred Duncan,27,Ghana,Central Midfield,CM,12000000.0,Fiorentina,Italy,in,winter,Serie A,2020,True,loan with fee
Cagliari Calcio,Daniele Rugani,26,Italy,Centre-Back,CB,10000000.0,Juventus,Italy,in,winter,Serie A,2020,True,loan with fee
Cagliari Calcio,Radja Nainggolan,32,Belgium,Attacking Midfield,AM,6000000.0,Inter,Italy,in,winter,Serie A,2020,True,free loan
Cagliari Calcio,Arturo Calabresi,24,Italy,Centre-Back,CB,1800000.0,Bologna,Italy,in,winter,Serie A,2020,True,free loan
Cagliari Calcio,Kwadwo Asamoah,32,Ghana,Left Midfield,LM,2000000.0,Without Club,,in,winter,Serie A,2020,False,
Cagliari Calcio,Fabio Pisacane,34,Italy,Centre-Back,CB,800000.0,Lecce,Italy,out,winter,Serie A,2020,False,
Cagliari Calcio,Simone Pinna,23,Italy,Right-Back,RB,200000.0,Ascoli,Italy,out,winter,Serie A,2020,True,free loan
Cagliari Calcio,Paolo Faragò,27,Italy,Right-Back,RB,3000000.0,Bologna,Italy,out,winter,Serie A,2020,True,free loan
Cagliari Calcio,Marko Pajac,27,Croatia,Left Midfield,LM,500000.0,Brescia,Italy,out,winter,Serie A,2020,False,
Cagliari Calcio,Fabrizio Caligara,20,Italy,Central Midfield,CM,500000.0,Ascoli,Italy,out,winter,Serie A,2020,True,free loan
Cagliari Calcio,Christian Oliva,24,Uruguay,Defensive Midfield,DM,3200000.0,Valencia,Spain,out,winter,Serie A,2020,True,free loan
Cagliari Calcio,Valter Birsa,34,Slovenia,Attacking Midfield,AM,1000000.0,Without Club,,out,winter,Serie A,2020,False,
FC Crotone,Luis Rojas,18,Chile,Attacking Midfield,AM,,U. de Chile,Chile,in,summer,Serie A,2020,False,
FC Crotone,Jacopo Petriccione,25,Italy,Defensive Midfield,DM,3000000.0,Lecce,Italy,in,summer,Serie A,2020,False,
FC Crotone,Luca Marrone,30,Italy,Centre-Back,CB,750000.0,Hellas Verona,Italy,in,summer,Serie A,2020,False,
FC Crotone,Milos Vulic,24,Serbia,Central Midfield,CM,1600000.0,Red Star,Serbia,in,summer,Serie A,2020,False,
FC Crotone,Sebastiano Luperto,24,Italy,Centre-Back,CB,3500000.0,SSC Napoli,Italy,in,summer,Serie A,2020,True,loan with fee
FC Crotone,Luca Cigarini,34,Italy,Defensive Midfield,DM,800000.0,Cagliari Calcio,Italy,in,summer,Serie A,2020,False,
FC Crotone,Emmanuel Rivière,30,Martinique,Centre-Forward,CF,850000.0,Cosenza,Italy,in,summer,Serie A,2020,False,
FC Crotone,Lisandro Magallán,26,Argentina,Centre-Back,CB,4800000.0,Ajax,Netherlands,in,summer,Serie A,2020,True,free loan
FC Crotone,Andrea Rispoli,31,Italy,Right Midfield,RM,700000.0,Lecce,Italy,in,summer,Serie A,2020,False,
FC Crotone,Eduardo Henrique,25,Brazil,Defensive Midfield,DM,2400000.0,Sporting CP,Portugal,in,summer,Serie A,2020,True,free loan
FC Crotone,Denis Dragus,21,Romania,Centre-Forward,CF,1300000.0,Standard Liège,Belgium,in,summer,Serie A,2020,True,free loan
FC Crotone,Pedro Pereira,22,Portugal,Right Midfield,RM,1800000.0,Benfica,Portugal,in,summer,Serie A,2020,True,free loan
FC Crotone,Arkadiusz Reca,25,Poland,Left Midfield,LM,2400000.0,Atalanta BC,Italy,in,summer,Serie A,2020,True,free loan
FC Crotone,Giovanni Bruzzaniti,20,Italy,Left Winger,LW,50000.0,Pro Vercelli,Italy,in,summer,Serie A,2020,False,
FC Crotone,Koffi Djidji,27,Cote d'Ivoire,Centre-Back,CB,3000000.0,Torino,Italy,in,summer,Serie A,2020,True,free loan
FC Crotone,Luca Siligardi,32,Italy,Right Winger,RW,500000.0,Parma,Italy,in,summer,Serie A,2020,True,free loan
FC Crotone,Andrea Barberis,26,Italy,Defensive Midfield,DM,1700000.0,Monza,Italy,out,summer,Serie A,2020,False,
FC Crotone,Mateo Itrak,20,Croatia,Central Midfield,CM,50000.0,ND Gorica,Slovenia,out,summer,Serie A,2020,False,
FC Crotone,Francesco Rodio,19,Italy,Left-Back,LB,75000.0,Pro Vercelli,Italy,out,summer,Serie A,2020,True,free loan
FC Crotone,Luka Markovic,20,Serbia,Centre-Forward,CF,75000.0,Red Star,Serbia,out,summer,Serie A,2020,False,
FC Crotone,Nicola Nanni,20,San Marino,Centre-Forward,CF,50000.0,Cesena,Italy,out,summer,Serie A,2020,True,free loan
FC Crotone,Giuseppe Borello,21,Italy,Right Winger,RW,300000.0,Pro Vercelli,Italy,out,summer,Serie A,2020,True,free loan
FC Crotone,Maxi López,36,Argentina,Centre-Forward,CF,300000.0,Sambenedettese,Italy,out,summer,Serie A,2020,False,
FC Crotone,Giacomo Figliuzzi,19,Italy,Goalkeeper,GK,50000.0,Gozzano,Italy,out,summer,Serie A,2020,True,free loan
FC Crotone,Jeremy Petris,22,France,Right Midfield,RM,150000.0,Pro Vercelli,Italy,out,summer,Serie A,2020,True,free loan
FC Crotone,Jean Lambert Evan's Allan,21,France,Left Winger,LW,200000.0,Catanzaro,Italy,out,summer,Serie A,2020,True,free loan
FC Crotone,Giovanni Bruzzaniti,20,Italy,Left Winger,LW,50000.0,Pro Vercelli,Italy,out,summer,Serie A,2020,True,free loan
FC Crotone,Guillaume Gigliotti,30,France,Centre-Back,CB,250000.0,Chievo Verona,Italy,out,summer,Serie A,2020,False,
FC Crotone,Alessandro Garattoni,22,Italy,Right-Back,RB,100000.0,Juve Stabia,Italy,out,summer,Serie A,2020,False,
FC Crotone,Augustus Kargbo,21,Sierra Leone,Second Striker,SS,500000.0,Reggiana,Italy,out,summer,Serie A,2020,True,free loan
FC Crotone,Zak Ruggiero,19,Italy,Second Striker,SS,100000.0,Pro Vercelli,Italy,out,summer,Serie A,2020,True,free loan
FC Crotone,Pasquale Giannotti,21,Italy,Central Midfield,CM,150000.0,V. Francavilla,Italy,out,summer,Serie A,2020,True,free loan
FC Crotone,Nicolás Spolli,37,Argentina,Centre-Back,CB,200000.0,Retired,,out,summer,Serie A,2020,False,
FC Crotone,Marcos Curado,25,Argentina,Centre-Back,CB,400000.0,Genoa,Italy,out,summer,Serie A,2020,True,end of loan
FC Crotone,Gabriele Bellodi,19,Italy,Centre-Back,CB,300000.0,AC Milan,Italy,out,summer,Serie A,2020,True,end of loan
FC Crotone,Luca Marrone,30,Italy,Centre-Back,CB,750000.0,Hellas Verona,Italy,out,summer,Serie A,2020,True,end of loan
FC Crotone,Samuel Armenteros,30,Sweden,Centre-Forward,CF,1000000.0,Benevento,Italy,out,summer,Serie A,2020,True,end of loan
FC Crotone,Alberto Gerbo,30,Italy,Central Midfield,CM,400000.0,Ascoli,Italy,out,summer,Serie A,2020,True,end of loan
FC Crotone,Marko Jankovic,25,Montenegro,Right Winger,RW,800000.0,SPAL,Italy,out,summer,Serie A,2020,True,end of loan
FC Crotone,Samuel Di Carmine,32,Italy,Centre-Forward,CF,1500000.0,Hellas Verona,Italy,in,winter,Serie A,2020,True,free loan
FC Crotone,Adam Ounas,24,Algeria,Right Winger,RW,8000000.0,SSC Napoli,Italy,in,winter,Serie A,2020,True,free loan
FC Crotone,Giuseppe Borello,21,Italy,Right Winger,RW,250000.0,Cesena,Italy,out,winter,Serie A,2020,True,free loan
FC Crotone,Tomislav Gomelt,26,Croatia,Central Midfield,CM,200000.0,ADO Den Haag,Netherlands,out,winter,Serie A,2020,False,
FC Crotone,Francesco Rodio,19,Italy,Left-Back,LB,50000.0,AJ Fano,Italy,out,winter,Serie A,2020,True,free loan
FC Crotone,Federico Panza,19,Italy,Centre-Back,CB,50000.0,Biancavilla,Italy,out,winter,Serie A,2020,False,
FC Crotone,Mattia Mustacchio,31,Italy,Right Winger,RW,400000.0,Alessandria,Italy,out,winter,Serie A,2020,False,
FC Crotone,Giovanni Crociata,23,Italy,Central Midfield,CM,1000000.0,FC Empoli,Italy,out,winter,Serie A,2020,True,free loan
FC Crotone,Jean Lambert Evan's Allan,22,France,Left Winger,LW,200000.0,AS Livorno,Italy,out,winter,Serie A,2020,True,free loan
FC Crotone,Zak Ruggiero,20,Italy,Second Striker,SS,100000.0,Pro Sesto,Italy,out,winter,Serie A,2020,True,free loan
Genoa CFC,Andrea Pinamonti,21,Italy,Centre-Forward,CF,13500000.0,Inter,Italy,in,summer,Serie A,2020,False,
Genoa CFC,Eldor Shomurodov,25,Uzbekistan,Centre-Forward,CF,6500000.0,Rostov,Russia,in,summer,Serie A,2020,False,
Genoa CFC,Francesco Cassata,23,Italy,Central Midfield,CM,2500000.0,Sassuolo,Italy,in,summer,Serie A,2020,False,
Genoa CFC,Mattia Bani,26,Italy,Centre-Back,CB,3200000.0,Bologna,Italy,in,summer,Serie A,2020,False,
Genoa CFC,Gabriel Charpentier,21,France,Centre-Forward,CF,225000.0,Spartaks,Latvia,in,summer,Serie A,2020,False,
Genoa CFC,Giuseppe Caso,21,Italy,Left Winger,LW,200000.0,Arezzo,Italy,in,summer,Serie A,2020,False,
Genoa CFC,Mattia Destro,29,Italy,Centre-Forward,CF,1800000.0,Bologna,Italy,in,summer,Serie A,2020,False,
Genoa CFC,Milan Badelj,31,Croatia,Defensive Midfield,DM,2000000.0,Lazio,Italy,in,summer,Serie A,2020,False,
Genoa CFC,Davide Zappacosta,28,Italy,Right Midfield,RM,10000000.0,Chelsea,England,in,summer,Serie A,2020,True,free loan
Genoa CFC,Riccardo Correnti,19,Italy,Left Midfield,LM,50000.0,FC Messina,Italy,in,summer,Serie A,2020,False,
Genoa CFC,Lennart Czyborra,21,Germany,Left Midfield,LM,3500000.0,Atalanta BC,Italy,in,summer,Serie A,2020,True,free loan
Genoa CFC,Miha Zajc,26,Slovenia,Central Midfield,CM,2700000.0,Fenerbahce,Turkey,in,summer,Serie A,2020,True,free loan
Genoa CFC,Filippo Melegoni,21,Italy,Central Midfield,CM,900000.0,Atalanta BC,Italy,in,summer,Serie A,2020,True,free loan
Genoa CFC,Joel Asoro,21,Sweden,Centre-Forward,CF,1300000.0,Swansea,England,in,summer,Serie A,2020,True,free loan
Genoa CFC,Marko Pjaca,25,Croatia,Left Winger,LW,5000000.0,Juventus,Italy,in,summer,Serie A,2020,True,free loan
Genoa CFC,Darian Males,19,Switzerland,Centre-Forward,CF,2000000.0,Inter,Italy,in,summer,Serie A,2020,True,free loan
Genoa CFC,Luca Pellegrini,21,Italy,Left Midfield,LM,13500000.0,Juventus,Italy,in,summer,Serie A,2020,True,free loan
Genoa CFC,Gianluca Scamacca,21,Italy,Centre-Forward,CF,5000000.0,Sassuolo,Italy,in,summer,Serie A,2020,True,free loan
Genoa CFC,Alberto Paleari,28,Italy,Goalkeeper,GK,1000000.0,Cittadella,Italy,in,summer,Serie A,2020,True,free loan
Genoa CFC,Davide Castelli,21,Italy,Centre-Forward,CF,,FC Villarreal C,Spain,in,summer,Serie A,2020,False,
Genoa CFC,Christian Kouamé,22,Cote d'Ivoire,Centre-Forward,CF,17500000.0,Fiorentina,Italy,out,summer,Serie A,2020,False,
Genoa CFC,Andrea Pinamonti,21,Italy,Centre-Forward,CF,13500000.0,Inter,Italy,out,summer,Serie A,2020,False,
Genoa CFC,Gianluca Lapadula,30,Peru,Centre-Forward,CF,5000000.0,Benevento,Italy,out,summer,Serie A,2020,False,
Genoa CFC,Koray Günter,26,Germany,Centre-Back,CB,4500000.0,Hellas Verona,Italy,out,summer,Serie A,2020,False,
Genoa CFC,Jawad El Yamiq,28,Morocco,Centre-Back,CB,800000.0,Real Valladolid,Spain,out,summer,Serie A,2020,False,
Genoa CFC,Oscar Hiljemark,28,Sweden,Central Midfield,CM,1500000.0,Aalborg BK,Denmark,out,summer,Serie A,2020,False,
Genoa CFC,Nicholas Rizzo,20,Italy,Centre-Back,CB,100000.0,Feralpisalò,Italy,out,summer,Serie A,2020,True,free loan
Genoa CFC,Matteo Piccardo,20,Italy,Right-Back,RB,150000.0,Pergolettese,Italy,out,summer,Serie A,2020,False,
Genoa CFC,Nermin Karić,21,Sweden,Central Midfield,CM,75000.0,Südtirol,Italy,out,summer,Serie A,2020,False,
Genoa CFC,Sebastian Eriksson,31,Sweden,Left-Back,LB,650000.0,IFK Göteborg,Sweden,out,summer,Serie A,2020,False,
Genoa CFC,Sinan Gümüs,26,Germany,Right Winger,RW,1500000.0,Fenerbahce,Turkey,out,summer,Serie A,2020,False,
Genoa CFC,Salvador Ichazo,28,Uruguay,Goalkeeper,GK,300000.0,Danubio FC,Uruguay,out,summer,Serie A,2020,False,
Genoa CFC,Filip Jagiello,23,Poland,Central Midfield,CM,1400000.0,Brescia,Italy,out,summer,Serie A,2020,True,free loan
Genoa CFC,Davide Castelli,21,Italy,Centre-Forward,CF,,Pro Patria,Italy,out,summer,Serie A,2020,True,free loan
Genoa CFC,Claudio Spinelli,23,Argentina,Centre-Forward,CF,500000.0,FC Koper,Slovenia,out,summer,Serie A,2020,True,free loan
Genoa CFC,Marcos Curado,25,Argentina,Centre-Back,CB,400000.0,Frosinone,Italy,out,summer,Serie A,2020,True,free loan
Genoa CFC,Peter Ankersen,30,Denmark,Right-Back,RB,1000000.0,FC Copenhagen,Denmark,out,summer,Serie A,2020,False,
Genoa CFC,Raúl Asencio,22,Spain,Centre-Forward,CF,850000.0,Pescara,Italy,out,summer,Serie A,2020,True,free loan
Genoa CFC,Riccardo Correnti,19,Italy,Left Midfield,LM,50000.0,Savoia,Italy,out,summer,Serie A,2020,True,free loan
Genoa CFC,Andrea Cambiaso,20,Italy,Right-Back,RB,150000.0,FC Empoli,Italy,out,summer,Serie A,2020,True,free loan
Genoa CFC,Pawel Jaroszynski,25,Poland,Left-Back,LB,450000.0,Pescara,Italy,out,summer,Serie A,2020,True,free loan
Genoa CFC,Andrea Favilli,23,Italy,Centre-Forward,CF,4000000.0,Hellas Verona,Italy,out,summer,Serie A,2020,True,free loan
Genoa CFC,Kevin Agudelo,21,Colombia,Right Winger,RW,3500000.0,Spezia Calcio,Italy,out,summer,Serie A,2020,True,free loan
Genoa CFC,Giacomo Calò,23,Italy,Defensive Midfield,DM,1000000.0,Pordenone,Italy,out,summer,Serie A,2020,True,free loan
Genoa CFC,Luigi Carillo,24,Italy,Centre-Back,CB,100000.0,Casertana,Italy,out,summer,Serie A,2020,True,free loan
Genoa CFC,Stephane Omeonga,24,Belgium,Central Midfield,CM,700000.0,Pescara,Italy,out,summer,Serie A,2020,False,
Genoa CFC,András Schäfer,21,Hungary,Central Midfield,CM,400000.0,Dunajska Streda,Slovakia,out,summer,Serie A,2020,False,
Genoa CFC,Gabriel Charpentier,21,France,Centre-Forward,CF,225000.0,Reggina,Italy,out,summer,Serie A,2020,True,free loan
Genoa CFC,Nicola Dalmonte,22,Italy,Left Midfield,LM,800000.0,LR Vicenza,Italy,out,summer,Serie A,2020,True,free loan
Genoa CFC,Antonio Candela,20,Italy,Right-Back,RB,350000.0,Pergolettese,Italy,out,summer,Serie A,2020,True,free loan
Genoa CFC,Rômulo,33,Italy,Central Midfield,CM,1000000.0,Without Club,,out,summer,Serie A,2020,False,
Genoa CFC,Antonio Sanabria,24,Paraguay,Centre-Forward,CF,6500000.0,Real Betis,Spain,out,summer,Serie A,2020,True,end of loan
Genoa CFC,Andrea Pinamonti,21,Italy,Centre-Forward,CF,13500000.0,Inter,Italy,out,summer,Serie A,2020,True,end of loan
Genoa CFC,Antonio Barreca,25,Italy,Left-Back,LB,3000000.0,Monaco,France,out,summer,Serie A,2020,True,end of loan
Genoa CFC,Cristian Romero,22,Argentina,Centre-Back,CB,14000000.0,Juventus,Italy,out,summer,Serie A,2020,True,end of loan
Genoa CFC,Francesco Cassata,23,Italy,Central Midfield,CM,2500000.0,Sassuolo,Italy,out,summer,Serie A,2020,True,end of loan
Genoa CFC,Riccardo Saponara,28,Italy,Attacking Midfield,AM,2500000.0,Fiorentina,Italy,out,summer,Serie A,2020,True,end of loan
Genoa CFC,Marko Pajac,27,Croatia,Left Midfield,LM,1100000.0,Cagliari Calcio,Italy,out,summer,Serie A,2020,True,end of loan
Genoa CFC,Eddie Salcedo,18,Italy,Centre-Forward,CF,10000000.0,Inter,Italy,out,summer,Serie A,2020,True,end of loan
Genoa CFC,Mattia Destro,29,Italy,Centre-Forward,CF,1800000.0,Bologna,Italy,out,summer,Serie A,2020,True,end of loan
Genoa CFC,Iago Falque,30,Spain,Right Winger,RW,6000000.0,Torino,Italy,out,summer,Serie A,2020,True,end of loan
Genoa CFC,Adama Soumaoro,28,France,Centre-Back,CB,6000000.0,LOSC Lille,France,out,summer,Serie A,2020,True,end of loan
Genoa CFC,Manolo Portanova,20,Italy,Attacking Midfield,AM,1000000.0,Juventus,Italy,in,winter,Serie A,2020,False,
Genoa CFC,Elia Petrelli,19,Italy,Centre-Forward,CF,250000.0,Juventus U23,Italy,in,winter,Serie A,2020,False,
Genoa CFC,Kevin Strootman,30,Netherlands,Central Midfield,CM,5000000.0,Marseille,France,in,winter,Serie A,2020,True,free loan
Genoa CFC,Jérôme Onguéné,23,Cameroon,Centre-Back,CB,4000000.0,RB Salzburg,Austria,in,winter,Serie A,2020,True,free loan
Genoa CFC,Nicolò Rovella,19,Italy,Defensive Midfield,DM,4000000.0,Juventus,Italy,in,winter,Serie A,2020,True,free loan
Genoa CFC,Nicolò Rovella,19,Italy,Defensive Midfield,DM,4000000.0,Juventus,Italy,out,winter,Serie A,2020,False,
Genoa CFC,Mattia Bani,27,Italy,Centre-Back,CB,3200000.0,Parma,Italy,out,winter,Serie A,2020,True,loan with fee
Genoa CFC,Lukas Lerager,27,Denmark,Central Midfield,CM,3500000.0,FC Copenhagen,Denmark,out,winter,Serie A,2020,True,loan with fee
Genoa CFC,Claudiu Micovschi,21,Romania,Left Winger,LW,250000.0,Reggina,Italy,out,winter,Serie A,2020,True,free loan
Genoa CFC,Petar Brlek,26,Croatia,Central Midfield,CM,900000.0,NK Osijek,Croatia,out,winter,Serie A,2020,False,
Genoa CFC,Ivan Lakicevic,27,Serbia,Right-Back,RB,400000.0,Reggina,Italy,out,winter,Serie A,2020,False,
Genoa CFC,Patrizio Masini,20,Italy,Central Midfield,CM,100000.0,Lecco,Italy,out,winter,Serie A,2020,True,free loan
Genoa CFC,Stefano Sturaro,27,Italy,Central Midfield,CM,5000000.0,Hellas Verona,Italy,out,winter,Serie A,2020,True,free loan
Genoa CFC,Elia Petrelli,19,Italy,Centre-Forward,CF,250000.0,Reggina,Italy,out,winter,Serie A,2020,True,free loan
Genoa CFC,Raúl Asencio,22,Spain,Centre-Forward,CF,850000.0,SPAL,Italy,out,winter,Serie A,2020,True,free loan
Genoa CFC,Gabriel Charpentier,21,France,Centre-Forward,CF,800000.0,Ascoli,Italy,out,winter,Serie A,2020,True,free loan
Genoa CFC,Vittorio Parigini,24,Italy,Right Winger,RW,1000000.0,Ascoli,Italy,out,winter,Serie A,2020,True,free loan
Genoa CFC,Lasse Schöne,34,Denmark,Defensive Midfield,DM,800000.0,Without Club,,out,winter,Serie A,2020,False,
Hellas Verona,Adrien Tamèze,26,Cameroon,Defensive Midfield,DM,4500000.0,OGC Nice,France,in,summer,Serie A,2020,False,
Hellas Verona,Kevin Rüegg,22,Switzerland,Right-Back,RB,5400000.0,FC Zürich,Switzerland,in,summer,Serie A,2020,False,
Hellas Verona,Koray Günter,26,Germany,Centre-Back,CB,4500000.0,Genoa,Italy,in,summer,Serie A,2020,False,
Hellas Verona,Nikola Kalinic,32,Croatia,Centre-Forward,CF,5500000.0,Atlético Madrid,Spain,in,summer,Serie A,2020,False,
Hellas Verona,Bruno Amione,18,Argentina,Centre-Back,CB,2300000.0,Belgrano,Argentina,in,summer,Serie A,2020,False,
Hellas Verona,Ebrima Colley,20,The Gambia,Left Winger,LW,800000.0,Atalanta BC,Italy,in,summer,Serie A,2020,True,loan with fee
Hellas Verona,Ivor Pandur,20,Croatia,Goalkeeper,GK,800000.0,HNK Rijeka,Croatia,in,summer,Serie A,2020,False,
Hellas Verona,Emmanuel Badu,29,Ghana,Central Midfield,CM,850000.0,Udinese Calcio,Italy,in,summer,Serie A,2020,False,
