fifa_version,player_positions,overall,potential,value_eur,height_cm,weight_kg,club_name,club_position,club_contract_valid_until_year,nationality_name,nation_position,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk,name
23.0,"CM, CDM",69,71,1700000.0,181,77,Parma,LDM,2026.0,Argentina,,Right,3,3,1,Medium/Medium,,"Flair, Long Shot Taker (AI)",65.0,65.0,71.0,70.0,62.0,66.0,73,67,57,73,62,70,70,75,70,72,66,65,71,66,66,65,72,75,57,62,74,62,65,65,64,68.0,59,65,62,14,12,9,12,10,,66+2,66+2,66+2,69,68,68,68,69,68+2,68+2,68+2,69+2,69+2,69+2,69+2,69+2,68+2,67+2,67+2,67+2,68+2,66+2,63+2,63+2,63+2,66+2,18+2,Nahuel Estévez
23.0,"CB, LB",69,70,1300000.0,188,70,Le Havre,SUB,2023.0,Netherlands,,Left,4,2,2,Medium/Medium,,"Long Throw-in, Injury Prone, Dives Into Tackles (AI)",60.0,42.0,59.0,63.0,69.0,68.0,64,26,67,63,39,62,62,43,64,65,62,58,62,64,54,65,80,49,75,52,70,70,49,46,42,71.0,68,70,70,8,14,12,11,12,,55+2,55+2,55+2,56,55,55,55,56,56+2,56+2,56+2,58+2,59+2,59+2,59+2,58+2,64+2,65+2,65+2,65+2,64+2,65+2,69+1,69+1,69+1,65+2,17+2,Terence Kongolo
23.0,ST,69,69,1400000.0,180,64,Birmingham City,RS,2024.0,Republic of Ireland,,Right,3,3,1,High/Low,,,80.0,65.0,52.0,68.0,30.0,60.0,48,71,68,55,63,68,60,30,53,66,81,79,71,71,67,68,52,65,64,46,44,27,72,55,65,70.0,23,30,23,9,6,12,8,12,,69,69,69,66,67,67,67,66,64+2,64+2,64+2,65+2,57+2,57+2,57+2,65+2,49+2,46+2,46+2,46+2,49+2,48+2,42+2,42+2,42+2,48+2,16+2,Scott Hogan
23.0,"LWB, LB, LM",69,69,1300000.0,186,80,Reggina,SUB,2025.0,Italy,,Left,2,3,1,High/Medium,,,75.0,37.0,60.0,63.0,63.0,75.0,73,23,58,62,29,63,65,50,60,64,71,78,63,61,60,54,74,83,76,50,62,62,46,46,34,68.0,62,64,66,8,11,11,7,14,,53+2,53+2,53+2,58,55,55,55,58,56+2,56+2,56+2,61+2,59+2,59+2,59+2,61+2,67+2,64+2,64+2,64+2,67+2,67+2,64+2,64+2,64+2,67+2,16+2,Gianluca Di Chiara
23.0,ST,69,69,1400000.0,183,85,Norwich City,SUB,2023.0,England,,Right,3,3,1,High/High,,Power Header,65.0,67.0,54.0,65.0,38.0,84.0,53,70,76,63,63,65,55,36,39,67,68,63,64,66,62,73,85,75,85,57,90,28,69,57,62,64.0,38,32,34,15,7,14,13,14,,69,69,69,64,66,66,66,64,63+2,63+2,63+2,63+2,58+2,58+2,58+2,63+2,52+2,52+2,52+2,52+2,52+2,51+2,53+2,53+2,53+2,51+2,18+2,Jordan Hugill
23.0,CB,68,81,2700000.0,189,78,Sampdoria,SUB,2023.0,Argentina,,Left,2,2,1,Medium/High,,Power Header,64.0,36.0,51.0,45.0,66.0,78.0,53,31,73,59,25,38,61,36,53,57,61,66,34,57,46,56,80,64,88,27,71,60,33,35,42,53.0,63,70,68,10,5,11,12,7,,50+2,50+2,50+2,47,47,47,47,47,46+2,46+2,46+2,50+2,51+2,51+2,51+2,50+2,60+2,61+2,61+2,61+2,60+2,63+2,68+2,68+2,68+2,63+2,14+2,Bruno Amione
23.0,CM,68,80,3000000.0,190,77,Lecce,SUB,2023.0,Norway,,Right,3,2,1,Medium/Medium,,Long Shot Taker (AI),58.0,55.0,67.0,68.0,64.0,62.0,60,54,58,74,49,69,59,55,67,72,62,55,60,66,58,53,62,68,57,61,65,68,63,65,41,63.0,60,67,61,9,12,7,10,8,,61+2,61+2,61+2,65,64,64,64,65,66+2,66+2,66+2,66+2,68+2,68+2,68+2,66+2,65+2,67+2,67+2,67+2,65+2,64+2,64+2,64+2,64+2,64+2,16+2,Kristoffer Askildsen
23.0,ST,68,79,2700000.0,191,84,Vitesse,ST,2023.0,Poland,,Right,3,2,1,Medium/Medium,,,67.0,67.0,47.0,64.0,35.0,72.0,31,69,67,63,62,64,45,36,39,68,73,62,51,64,63,71,73,66,79,61,60,24,67,44,59,62.0,24,40,43,14,13,6,13,13,,68+2,68+2,68+2,61,64,64,64,61,61+2,61+2,61+2,60+2,56+2,56+2,56+2,60+2,49+2,48+2,48+2,48+2,49+2,48+2,49+2,49+2,49+2,48+2,18+2,Bartosz Bialek
23.0,"CM, CAM",68,79,2700000.0,183,77,Genoa,RM,2025.0,Italy,,Right,3,2,1,Medium/Medium,,,74.0,61.0,69.0,68.0,53.0,61.0,64,62,50,75,47,70,56,54,70,71,71,77,59,65,59,68,55,53,68,51,54,56,72,70,68,65.0,45,59,58,8,8,9,15,14,,66+2,66+2,66+2,68,69,69,69,68,69+2,69+2,69+2,69+2,68+2,68+2,68+2,69+2,63+2,62+2,62+2,62+2,63+2,61+2,58+2,58+2,58+2,61+2,17+2,Manolo Portanova
23.0,CB,68,78,2500000.0,190,90,Valencia,SUB,2023.0,Turkey,,Left,3,2,1,Medium/Medium,#Strength,,53.0,33.0,54.0,59.0,67.0,72.0,39,26,70,67,28,60,29,33,69,66,52,54,40,63,47,54,54,55,87,21,62,68,44,48,45,61.0,66,68,66,11,8,10,9,5,,52+2,52+2,52+2,51,53,53,53,51,54+2,54+2,54+2,55+2,59+2,59+2,59+2,55+2,60+2,66+2,66+2,66+2,60+2,62+2,68+2,68+2,68+2,62+2,14+2,Cenk Özkacar
23.0,ST,68,75,2400000.0,183,81,SpVgg Greuther Fürth,LS,2023.0,Germany,,Right,3,2,1,High/Medium,,"Injury Prone, Power Header",80.0,65.0,46.0,62.0,28.0,70.0,33,66,78,60,56,60,44,34,36,62,80,80,67,65,69,72,90,66,77,58,53,17,65,43,60,62.0,31,19,22,6,12,8,12,10,,68+2,68+2,68+2,61,64,64,64,61,60+2,60+2,60+2,59+2,52+2,52+2,52+2,59+2,45+2,43+2,43+2,43+2,45+2,44+2,44+2,44+2,44+2,44+2,16+2,Ragnar Ache
23.0,"ST, RM, RW",68,73,1800000.0,188,82,Werder Bremen,SUB,2023.0,Scotland,,Right,3,3,1,Medium/Medium,,Speed Dribbler (AI),88.0,64.0,62.0,66.0,37.0,71.0,63,66,54,65,52,71,62,62,56,59,85,91,69,68,69,74,63,68,79,56,58,36,67,59,50,60.0,34,38,27,13,11,7,7,15,,68+2,68+2,68+2,68,67,67,67,68,65+2,65+2,65+2,68+2,60+2,60+2,60+2,68+2,55+2,52+2,52+2,52+2,55+2,53+2,49+2,49+2,49+2,53+2,17+2,Oliver Burke
23.0,ST,68,73,1800000.0,189,85,Nürnberg,SUB,2025.0,Germany,,Right,3,2,1,Medium/High,,,61.0,68.0,48.0,64.0,29.0,78.0,37,72,67,58,66,65,44,36,37,65,59,62,62,68,58,68,72,86,80,60,65,24,70,55,62,58.0,31,23,17,13,5,9,8,5,,68+2,68+2,68+2,62,65,65,65,62,62+2,62+2,62+2,61+2,56+2,56+2,56+2,61+2,47+2,47+2,47+2,47+2,47+2,45+2,45+2,45+2,45+2,45+2,14+2,Christoph Daferner
23.0,"ST, LW",68,73,1800000.0,188,80,FSV Mainz 05,SUB,2025.0,Netherlands,,Right,3,4,1,Medium/Low,,"Flair, Speed Dribbler (AI), Technical Dribbler (AI)",79.0,63.0,56.0,74.0,36.0,68.0,58,67,60,63,44,79,52,53,46,71,79,79,76,63,67,71,33,67,74,55,65,34,63,52,51,63.0,35,32,28,14,11,8,10,13,,68+2,68+2,68+2,68,68,68,68,68,65+2,65+2,65+2,67+2,59+2,59+2,59+2,67+2,54+2,50+2,50+2,50+2,54+2,51+2,47+2,47+2,47+2,51+2,17+2,Delano Burgzorg
23.0,"CM, CAM",68,71,1600000.0,184,75,Ferencváros,SUB,2023.0,Bosnia and Herzegovina,,Right,4,3,1,High/Medium,,Long Shot Taker (AI),69.0,65.0,66.0,68.0,62.0,75.0,59,58,69,72,66,71,55,58,67,71,70,68,48,59,60,82,57,76,78,65,73,63,68,65,65,77.0,60,62,59,14,13,12,14,12,,68+2,68+2,68+2,66,68,68,68,66,67+2,67+2,67+2,67+2,68+2,68+2,68+2,67+2,65+2,67+2,67+2,67+2,65+2,65+2,65+2,65+2,65+2,65+2,18+2,Amer Gojak
23.0,ST,68,69,1400000.0,176,75,Nürnberg,SUB,2027.0,Germany,,Right,3,3,1,Medium/Medium,,Injury Prone,71.0,67.0,60.0,70.0,32.0,63.0,65,67,65,66,65,69,59,46,49,70,76,66,75,66,79,72,79,67,65,64,47,23,68,54,65,60.0,42,21,18,8,6,11,8,8,,68+1,68+1,68+1,67,67,67,67,67,65+2,65+2,65+2,66+2,59+2,59+2,59+2,66+2,51+2,47+2,47+2,47+2,51+2,48+2,44+2,44+2,44+2,48+2,14+2,Pascal Köpke
23.0,GK,68,68,400000.0,191,87,West Bromwich Albion,GK,2024.0,England,,Right,3,1,1,Medium/Medium,,"Solid Player, Rushes Out Of Goal",,,,,,,13,12,19,46,11,23,12,15,33,33,55,52,50,64,45,49,58,35,40,13,12,24,12,41,11,61.0,7,17,11,70,67,65,65,68,54.0,30+2,30+2,30+2,32,33,33,33,32,35+2,35+2,35+2,34+2,34+2,34+2,34+2,34+2,30+2,30+2,30+2,30+2,30+2,29+2,24+2,24+2,24+2,29+2,67+1,David Button
23.0,CB,68,68,1000000.0,187,77,Eintracht Braunschweig,CB,2024.0,Germany,,Right,3,2,1,Medium/Medium,,"Power Free-Kick, Dives Into Tackles (AI), Long Passer (AI), Long Shot Taker (AI)",64.0,53.0,56.0,45.0,67.0,73.0,43,34,67,65,34,33,36,60,69,51,54,72,57,65,58,84,81,63,77,71,74,66,42,49,54,61.0,65,67,70,9,7,15,14,15,,55+2,55+2,55+2,49,52,52,52,49,52+2,52+2,52+2,51+2,58+2,58+2,58+2,51+2,61+2,65+2,65+2,65+2,61+2,63+2,68,68,68,63+2,17+2,Brian Behrendt
23.0,"LB, RB",67,75,2200000.0,175,65,Fortuna Düsseldorf,SUB,2023.0,Poland,,Right,3,2,1,High/High,,Speed Dribbler (AI),77.0,41.0,63.0,68.0,61.0,62.0,68,39,55,66,32,68,62,38,58,68,78,76,64,60,83,45,60,70,56,37,66,63,62,63,44,60.0,60,63,61,6,5,15,12,12,,56+2,56+2,56+2,63,61,61,61,63,62+2,62+2,62+2,65+2,63+2,63+2,63+2,65+2,66+2,63+2,63+2,63+2,66+2,65+2,61+2,61+2,61+2,65+2,15+2,Michal Karbownik
23.0,"LW, CF, RW",67,75,2300000.0,182,75,Fatih Karagümrük,RW,2023.0,Gambia,,Right,3,2,1,High/Low,,,79.0,65.0,57.0,70.0,27.0,52.0,54,67,63,62,50,72,62,68,49,71,79,79,69,61,65,65,63,54,55,65,37,25,65,54,70,57.0,22,24,22,6,7,6,12,5,,66+2,66+2,66+2,67,67,67,67,67,65+2,65+2,65+2,65+2,57+2,57+2,57+2,65+2,48+2,44+2,44+2,44+2,48+2,46+2,39+2,39+2,39+2,46+2,13+2,Ebrima Colley
23.0,ST,67,73,1600000.0,172,65,Frosinone,ST,2025.0,Italy,,Right,4,3,1,Medium/Medium,,"Flair, Speed Dribbler (AI)",80.0,67.0,60.0,73.0,27.0,48.0,58,68,45,69,59,72,63,47,54,71,80,80,83,67,86,71,48,53,42,63,55,24,72,55,61,60.0,23,28,27,11,12,6,10,11,,67+2,67+2,67+2,70,69,69,69,70,68+2,68+2,68+2,68+2,60+2,60+2,60+2,68+2,51+2,47+2,47+2,47+2,51+2,48+2,39+2,39+2,39+2,48+2,17+2,Giuseppe Caso
23.0,"CB, CDM",67,72,1300000.0,190,79,Viktoria Köln,RCB,2023.0,Germany,,Right,3,2,1,Medium/High,,,62.0,37.0,55.0,60.0,67.0,73.0,43,29,65,65,34,59,38,35,60,62,55,68,63,64,53,56,50,66,81,37,69,68,38,55,38,63.0,66,68,63,14,7,14,13,13,,52+2,52+2,52+2,53,53,53,53,53,55+2,55+2,55+2,56+2,59+2,59+2,59+2,56+2,62+2,65+2,65+2,65+2,62+2,63+2,67+2,67+2,67+2,63+2,18+2,Lars Dietz
23.0,"LM, LW, RW",67,68,1200000.0,180,73,Jahn Regensburg,LAM,2023.0,Germany,,Right,4,3,1,Medium/Medium,,"Dives Into Tackles (AI), Finesse Shot, Technical Dribbler (AI)",67.0,64.0,63.0,70.0,21.0,55.0,64,68,48,66,60,72,66,45,58,69,74,62,78,47,66,64,57,62,53,58,52,17,68,66,55,70.0,18,19,15,11,14,7,7,9,,63+2,63+2,63+2,67,65,65,65,67,66+2,66+2,66+2,66+2,59+2,59+2,59+2,66+2,46+2,43+2,43+2,43+2,46+2,42+2,35+2,35+2,35+2,42+2,14+2,Joshua Mees
23.0,CB,66,77,1800000.0,185,75,Monza,RES,2026.0,Bulgaria,,Right,3,2,1,Medium/High,,,60.0,36.0,47.0,48.0,63.0,76.0,28,32,64,57,41,37,32,42,50,53,55,64,58,66,63,43,86,69,80,34,70,62,40,52,46,57.0,60,67,64,7,12,12,8,14,,49+2,49+2,49+2,46,48,48,48,46,49+2,49+2,49+2,49+2,53+2,53+2,53+2,49+2,57+2,61+2,61+2,61+2,57+2,59+2,66+2,66+2,66+2,59+2,16+2,Valentin Antov
23.0,CB,66,76,1800000.0,187,86,Nottingham Forest,RES,2024.0,France,,Right,2,2,1,Low/High,,,60.0,29.0,49.0,48.0,66.0,67.0,49,25,70,63,33,39,34,29,48,60,55,64,38,63,54,39,71,53,75,22,64,65,30,32,41,61.0,65,66,66,9,8,6,6,10,,47+2,47+2,47+2,46,45,45,45,46,46+2,46+2,46+2,49+2,50+2,50+2,50+2,49+2,60+2,61+2,61+2,61+2,60+2,62+2,66+2,66+2,66+2,62+2,14+2,Loïc Mbe Soh
23.0,"RB, LB, RM",66,75,1800000.0,188,75,Westerlo,RB,2023.0,United States,,Right,3,2,1,Medium/Medium,,Dives Into Tackles (AI),70.0,47.0,59.0,60.0,62.0,64.0,68,47,58,62,39,60,47,24,51,60,69,70,64,67,53,49,72,72,63,42,52,62,50,62,54,53.0,62,65,56,14,13,9,7,13,,56+2,56+2,56+2,60,58,58,58,60,59+2,59+2,59+2,61+2,59+2,59+2,59+2,61+2,64+2,61+2,61+2,61+2,64+2,64+2,62+2,62+2,62+2,64+2,18+2,Bryan Reynolds
23.0,"CAM, RM",66,75,1900000.0,188,76,Basel,SUB,2023.0,Switzerland,,Left,3,3,1,Medium/Medium,,,77.0,60.0,62.0,67.0,36.0,64.0,55,64,51,67,46,67,56,63,60,68,76,77,73,56,70,58,64,67,73,56,40,23,65,64,60,66.0,30,43,42,14,14,10,11,8,,63+2,63+2,63+2,66,65,65,65,66,66+2,66+2,66+2,65+2,61+2,61+2,61+2,65+2,53+2,51+2,51+2,51+2,53+2,51+2,46+2,46+2,46+2,51+2,17+2,Darian Males
23.0,ST,66,73,1800000.0,195,85,KV Oostende,ST,2023.0,Scotland,,Right,2,2,1,Medium/Medium,,,58.0,68.0,50.0,60.0,24.0,72.0,35,68,69,60,58,64,53,52,44,66,52,62,34,61,34,70,65,56,83,67,65,16,63,53,69,58.0,19,21,19,6,15,11,8,13,,66+2,66+2,66+2,59,63,63,63,59,60+2,60+2,60+2,58+2,54+2,54+2,54+2,58+2,41+2,43+2,43+2,43+2,41+2,39+2,42+2,42+2,42+2,39+2,16+2,Fraser Hornby
23.0,"CM, LM, RM",66,72,1300000.0,180,76,Guingamp,SUB,2023.0,Congo,,Left,2,3,1,High/Medium,,"Injury Prone, Speed Dribbler (AI)",84.0,63.0,64.0,67.0,57.0,59.0,58,63,38,72,58,66,53,45,66,69,80,88,75,62,59,67,34,68,61,63,51,59,57,64,52,60.0,48,67,67,12,12,12,13,6,,63+2,63+2,63+2,67,66,66,66,67,67+2,67+2,67+2,67+2,66+2,66+2,66+2,67+2,66+2,64+2,64+2,64+2,66+2,65+2,58+2,58+2,58+2,65+2,16+2,Warren Tchimbembé
23.0,"CDM, CM",66,70,1100000.0,185,77,Metz,SUB,2024.0,France,,Right,2,2,1,High/High,,Injury Prone,61.0,48.0,58.0,63.0,64.0,73.0,49,42,62,66,41,63,50,29,61,64,64,59,62,62,58,59,77,70,75,48,72,62,59,58,55,65.0,64,67,64,11,12,14,9,12,,58+2,58+2,58+2,59,59,59,59,59,60+2,60+2,60+2,60+2,62+2,62+2,62+2,60+2,63+2,65+2,65+2,65+2,63+2,63+2,66+2,66+2,66+2,63+2,17+2,Kévin N'Doram
23.0,"LB, LM, LWB",66,70,1100000.0,182,65,Stade de Reims,SUB,2024.0,Belgium,,Left,3,2,1,Medium/Medium,,,70.0,47.0,59.0,59.0,64.0,70.0,65,36,64,61,26,56,59,33,60,62,67,72,61,60,69,68,69,70,68,58,73,64,51,53,37,56.0,62,66,61,6,6,12,8,13,,56+2,56+2,56+2,58,57,57,57,58,57+2,57+2,57+2,59+2,59+2,59+2,59+2,59+2,64+2,63+2,63+2,63+2,64+2,64+2,65+2,65+2,65+2,64+2,14+2,Thibault De Smet
23.0,"ST, RM",66,69,1100000.0,178,77,APOEL,RES,2024.0,Greece,,Right,4,3,1,Medium/Medium,,"Flair, Speed Dribbler (AI)",79.0,65.0,56.0,69.0,24.0,60.0,56,62,60,61,63,68,53,47,50,71,80,79,73,64,76,69,68,61,61,66,56,20,66,55,69,61.0,22,18,24,8,14,12,15,11,,66+2,66+2,66+2,66,66,66,66,66,65+2,65+2,65+2,65+2,57+2,57+2,57+2,65+2,48+2,44+2,44+2,44+2,48+2,46+2,40+2,40+2,40+2,46+2,18+2,Anastasios Donis
23.0,GK,66,68,800000.0,185,73,Perugia,GK,2023.0,Italy,,Right,3,1,1,Medium/Medium,,,,,,,,,13,14,12,35,18,21,21,17,20,20,44,48,39,57,59,47,51,34,54,16,20,26,15,22,25,51.0,15,17,14,71,64,63,61,71,46.0,28+2,28+2,28+2,26,27,27,27,26,27+2,27+2,27+2,27+2,26+2,26+2,26+2,27+2,27+2,27+2,27+2,27+2,27+2,26+2,26+2,26+2,26+2,26+2,65+2,Stefano Gori
23.0,"RM, ST",65,78,1700000.0,181,73,Montpellier,SUB,2025.0,Congo,,Right,3,3,1,Medium/Medium,,Speed Dribbler (AI),82.0,61.0,54.0,68.0,30.0,56.0,57,62,42,56,61,68,57,43,49,68,82,82,70,64,72,67,65,57,59,52,45,29,61,55,60,59.0,25,33,26,10,9,6,12,8,,63+2,63+2,63+2,65,64,64,64,65,62+2,62+2,62+2,64+2,56+2,56+2,56+2,64+2,50+2,46+2,46+2,46+2,50+2,48+2,41+2,41+2,41+2,48+2,16+2,Béni Makouana
23.0,"LB, LM",65,72,1400000.0,182,77,SPAL,SUB,2024.0,Italy,,Left,3,2,1,Medium/Medium,,Long Throw-in,70.0,33.0,53.0,63.0,62.0,57.0,64,28,53,58,36,62,43,36,49,66,67,72,65,64,61,36,60,51,58,31,59,63,59,45,41,54.0,61,66,63,10,5,6,6,12,,51+2,51+2,51+2,58,55,55,55,58,56+2,56+2,56+2,59+2,56+2,56+2,56+2,59+2,63+2,60+2,60+2,60+2,63+2,63+2,61+2,61+2,61+2,63+2,14+2,Alessandro Tripaldelli
23.0,ST,65,72,1400000.0,188,80,Parma,SUB,2025.0,France,,Right,3,2,1,Medium/Medium,,Power Header,55.0,68.0,43.0,62.0,28.0,63.0,33,74,75,52,54,64,48,38,35,61,54,56,63,55,52,66,64,65,68,61,46,18,64,44,63,57.0,26,23,20,7,9,15,10,14,,65+2,65+2,65+2,58,60,60,60,58,57+2,57+2,57+2,55+2,50+2,50+2,50+2,55+2,41+2,40+2,40+2,40+2,41+2,40+2,40+2,40+2,40+2,40+2,15+2,Gabriel Charpentier
23.0,CM,65,69,1000000.0,173,68,Sion,RCM,2025.0,France,,Right,3,3,1,Medium/Medium,,Power Free-Kick,73.0,61.0,65.0,67.0,63.0,72.0,60,57,55,69,49,67,64,66,67,67,77,69,73,61,73,68,76,76,70,68,70,64,46,63,61,64.0,64,65,63,10,6,12,9,14,,61+2,61+2,61+2,64,63,63,63,64,64+2,64+2,64+2,65+2,65+2,65+2,65+2,65+2,66+2,66+2,66+2,66+2,66+2,66+2,65+2,65+2,65+2,66+2,16+2,Denis Will Poha
23.0,CM,65,69,1000000.0,183,76,Ternana,SUB,2023.0,Italy,,Right,3,3,1,Medium/Medium,,,45.0,50.0,66.0,67.0,54.0,59.0,62,40,29,70,39,68,52,58,68,70,59,34,60,64,60,55,33,57,56,70,74,49,57,65,40,59.0,61,59,50,10,7,5,7,10,,53+2,53+2,53+2,61,60,60,60,61,63+2,63+2,63+2,62+2,65+2,65+2,65+2,62+2,58+2,62+2,62+2,62+2,58+2,56+2,55+2,55+2,55+2,56+2,14+2,Francesco Cassata
23.0,"CDM, CB",65,65,625000.0,186,81,1860 München,CDM,2024.0,Germany,,Right,3,2,1,Medium/High,,,62.0,33.0,51.0,53.0,64.0,75.0,47,27,58,64,38,39,31,38,56,66,61,62,60,62,65,46,77,80,74,30,70,63,29,39,48,59.0,64,66,64,8,9,10,8,9,,47+2,47+2,47+2,48,47,47,47,48,49+2,49+2,49+2,52+2,55+2,55+2,55+2,52+2,62+2,64+1,64+1,64+1,62+2,63+2,65,65,65,63+2,14+2,Tim Rieder
23.0,"ST, RM",64,67,800000.0,182,64,Birmingham City,SUB,2023.0,England,,Right,4,3,1,Medium/Low,#Speedster,"Flair, Speed Dribbler (AI)",90.0,60.0,55.0,67.0,35.0,62.0,57,62,56,61,50,67,53,34,44,64,90,90,78,61,73,63,65,58,65,56,57,30,61,57,50,55.0,32,36,29,6,12,11,8,9,,64+2,64+2,64+2,66,65,65,65,66,63+2,63+2,63+2,64+2,56+2,56+2,56+2,64+2,52+2,48+2,48+2,48+2,52+2,51+2,46+2,46+2,46+2,51+2,15+2,Jonathan Leko
23.0,"LM, LW",63,80,1200000.0,178,72,Santa Clara,RES,2023.0,Serbia,,Right,3,4,1,Medium/Medium,,Technical Dribbler (AI),72.0,62.0,59.0,67.0,35.0,53.0,58,61,36,60,57,66,71,70,53,65,77,68,77,59,72,67,48,52,56,60,46,27,60,58,63,62.0,31,43,38,14,6,13,8,5,,60+2,60+2,60+2,64,63,63,63,64,62+2,62+2,62+2,62+2,57+2,57+2,57+2,62+2,51+2,48+2,48+2,48+2,51+2,49+2,43+2,43+2,43+2,49+2,14+2,Filip Stevanovic
23.0,"LB, LM, LWB",63,74,1000000.0,178,68,Parma,SUB,2024.0,Greece,,Left,2,2,1,Medium/Medium,,,77.0,42.0,49.0,60.0,59.0,60.0,55,33,53,53,41,58,50,34,51,55,74,80,70,63,78,58,59,72,56,45,53,59,53,37,37,57.0,61,60,58,13,9,9,10,13,,53+2,53+2,53+2,55,54,54,54,55,53+2,53+2,53+2,57+2,53+2,53+2,53+2,57+2,61+2,57+2,57+2,57+2,61+2,61+2,58+2,58+2,58+2,61+2,17+2,Vasilios Zagaritis
23.0,"RB, RM",63,71,1000000.0,178,68,Columbus Crew,RES,2023.0,Canada,,Right,3,3,1,High/Medium,,"Early Crosser, Speed Dribbler (AI), Technical Dribbler (AI)",80.0,50.0,60.0,65.0,55.0,55.0,65,48,44,61,48,64,61,48,53,64,82,78,75,58,71,60,59,65,53,50,48,53,54,59,34,53.0,54,59,56,11,6,10,11,14,,57+2,57+2,57+2,62,60,60,60,62,61+2,61+2,61+2,63+2,59+2,59+2,59+2,63+2,62+2,57+2,57+2,57+2,62+2,61+2,55+2,55+2,55+2,61+2,16+2,Mohamed Fares
23.0,CM,63,69,750000.0,186,74,Atalanta,RES,2023.0,Italy,,Right,2,2,1,Medium/Medium,,,58.0,50.0,62.0,58.0,61.0,58.0,48,51,65,73,36,57,42,45,72,62,55,61,54,65,57,57,56,53,56,40,68,60,55,60,57,45.0,54,67,63,8,9,14,8,13,,58+2,58+2,58+2,58,59,59,59,58,60+2,60+2,60+2,59+2,63+2,63+2,63+2,59+2,60+2,64+2,64+2,64+2,60+2,61+2,62+2,62+2,62+2,61+2,16+2,Simone Muratore
23.0,"LW, CF",63,69,750000.0,185,76,Südtirol,SUB,2025.0,Italy,,Right,3,3,1,Medium/Medium,,,72.0,61.0,52.0,66.0,22.0,63.0,55,59,47,54,65,64,62,58,39,70,70,73,67,62,59,67,57,77,62,62,48,18,63,51,54,64.0,15,23,19,12,6,11,5,11,,62+2,62+2,62+2,63,63,63,63,63,60+2,60+2,60+2,62+2,54+2,54+2,54+2,62+2,47+2,42+2,42+2,42+2,47+2,44+2,36+2,36+2,36+2,44+2,15+2,Matteo Rover
23.0,GK,63,68,575000.0,195,97,St. Pauli,SUB,2023.0,Germany,,Right,4,1,1,Medium/Medium,,,,,,,,,12,9,12,18,6,11,12,8,20,14,31,32,32,47,27,50,33,27,74,9,29,11,7,27,15,24.0,10,12,11,64,64,66,62,64,31.0,22+2,22+2,22+2,18,20,20,20,18,19+2,19+2,19+2,19+2,19+2,19+2,19+2,19+2,19+2,21+2,21+2,21+2,19+2,18+2,22+2,22+2,22+2,18+2,62+2,Dennis Smarsch
22.0,"CM, CDM, CB",87,92,119500000.0,180,74,FC Barcelona,RCM,2026.0,Netherlands,CDM,Right,3,4,3,High/Medium,"#Dribbler, #Playmaker, #Acrobat, #Complete Midfielder","Flair, Playmaker (AI), Outside Foot Shot, Technical Dribbler (AI)",81.0,69.0,85.0,88.0,77.0,78.0,78,72,72,91,70,88,84,64,87,89,80,82,88,88,79,68,76,90,74,66,75,82,77,86,45,90.0,76,76,77,7,13,10,10,9,,78+3,78+3,78+3,83,82,82,82,83,85+3,85+3,85+3,85+3,86+3,86+3,86+3,85+3,83+3,83+3,83+3,83+3,83+3,82+3,78+3,78+3,78+3,82+3,18+3,Frenkie de Jong
22.0,CB,86,86,44000000.0,191,96,Borussia Dortmund,LCB,2022.0,Germany,,Right,3,3,4,High/High,"#Tackling, #Tactician, #Strength, #Complete Defender","Leadership, Long Passer (AI), Playmaker (AI), Power Header, Outside Foot Shot",56.0,59.0,77.0,73.0,89.0,77.0,65,57,88,82,61,69,66,53,86,79,47,64,61,88,62,71,70,66,86,49,71,89,57,80,68,89.0,90,90,86,15,6,10,5,6,,70+3,70+3,70+3,68,70,70,70,68,72+3,72+3,72+3,71+3,78+3,78+3,78+3,71+3,78+3,84+2,84+2,84+2,78+3,80+3,85+1,85+1,85+1,80+3,17+3,Mats Hummels
22.0,CB,85,90,75000000.0,189,89,Juventus,LCB,2024.0,Netherlands,SUB,Right,3,2,3,Medium/High,#Strength,"Solid Player, Power Header",73.0,59.0,60.0,69.0,84.0,87.0,52,50,85,75,45,65,48,55,63,73,71,75,60,84,62,82,93,75,93,66,83,81,44,45,40,82.0,84,85,85,12,11,11,12,10,,68+3,68+3,68+3,64,65,65,65,64,64+3,64+3,64+3,65+3,67+3,67+3,67+3,65+3,75+3,78+3,78+3,78+3,75+3,78+3,84+3,84+3,84+3,78+3,19+3,Matthijs de Ligt
