,name,full_name,age,height,nationality,place_of_birth,price,max_price,position,shirt_nr,foot,club,contract_expires,joined_club,player_agent,outfitter,league
55,Pierre-Emerick Aubameyang,Pierre-Emerick Emiliano François Aubameyang,33,1.86,Gabon  France,Laval,7,75,Attack - Centre-Forward,9,right,Chelsea,6/30/2024,9/1/2022,Premier Sports ...,Nike,EPL
97,Arthur Melo,,26,1.72,Brazil,Goiânia,15,70,midfield - Central Midfield,29,right,Liverpool,6/30/2023,9/1/2022,P&P Sport ...,Nike,EPL
219,Wout Faes,,25,1.87,Belgium,Mol,20,20,Defender - Centre-Back,3,right,Leicester,6/30/2027,9/1/2022,Claes Agency,,EPL
256,Leander Dendoncker,,28,1.88,Belgium,Passendale,17,32,midfield - Defensive Midfield,32,right,Aston Villa,,9/1/2022,Wasserman,Nike,EPL
279,Boubacar Traoré,,21,1.83,Mali,Bamako,5,5,midfield - Defensive Midfield,6,,Wolves,6/30/2023,9/1/2022,forward management ...,,EPL
299,Duje Caleta-Car,Duje Ćaleta-Car,26,1.92,Croatia,Šibenik,14,25,Defender - Centre-Back,6,right,Southampton,6/30/2026,9/1/2022,CAA Stellar,,EPL
303,Juan Larios,Juan Larios López,19,1.7,Spain,Tomares,7,7,Defender - Left-Back,28,left,Southampton,6/30/2027,9/1/2022,Promoesport,adidas,EPL
312,Ainsley Maitland-Niles,Ainsley Cory Maitland-Niles,25,1.8,England  Jamaica,London,8,18,midfield - Right Midfield,3,right,Southampton,5/31/2023,9/1/2022,Tier One,Nike,EPL
318,Samuel Edozie,Samuel Ikechukwu Edozie,20,1.81,England  Nigeria,London,7,7,Attack - Left Winger,23,right,Southampton,6/30/2027,9/1/2022,Unique Sports Group,,EPL
337,Billy Gilmour,Billy Clifford Gilmour,21,1.7,Scotland,Irvine,9,15,midfield - Central Midfield,27,right,Brighton,6/30/2026,9/1/2022,CAA Stellar,adidas,EPL
363,James Garner,James David Garner,22,1.82,England,Birkenhead,14,14,midfield - Defensive Midfield,37,right,Everton,6/30/2026,9/1/2022,Triple S Sports,,EPL
366,Idrissa Gueye,Idrissa Gana Gueye,33,1.74,Senegal,Dakar,8,30,midfield - Central Midfield,27,right,Everton,6/30/2024,9/1/2022,Teranga Sports,adidas,EPL
380,Willy Boly,Willy-Arnaud Zobo Boly,32,1.95,Cote d'Ivoire  France,Melun,4,18,Defender - Centre-Back,30,right,Nottm Forest,6/30/2024,9/1/2022,Sport Cover,Nike,Other
452,Wilfried Gnonto,Degnand Wilfried Gnonto,19,1.7,Italy  Cote d'Ivoire,Verbania,18,18,Attack - Left Winger,29,right,Leeds,6/30/2027,9/1/2022,Vigo Global Sport ...,Puma,Other
489,Layvin Kurzawa,Layvin Marc Kurzawa,30,1.82,France  Guadeloupe,Fréjus,4,23,Defender - Left-Back,3,left,Fulham,6/30/2023,9/1/2022,CAA Base Ltd,Nike,EPL
501,Willian,,34,1.75,Brazil,Ribeirão Pires,3,50,Attack - Left Winger,20,right,Fulham,6/30/2023,9/1/2022,Sports Invest UK ltd,Puma,EPL
503,Daniel James,Daniel Owen James,25,1.71,Wales  England,Beverley,13,28,Attack - Right Winger,21,right,Fulham,5/31/2023,9/1/2022,CAA Stellar,adidas,EPL
505,Carlos Vinícius,,28,1.9,Brazil,Bom Jesus das Selvas,5,20,Attack - Centre-Forward,30,left,Fulham,6/30/2025,9/1/2022,Gestifute,,EPL
513,Jack Stephens,,29,1.85,England,Torpoint,5,8,Defender - Centre-Back,3,right,Bournemouth,5/31/2023,9/1/2022,CAA Stellar,,EPL
601,Abdou Diallo,Abdou-Lakhad Diallo,27,1.87,Senegal  France,Tours,15,35,Defender - Centre-Back,37,left,RB Leipzig,6/30/2023,9/1/2022,Classico,Puma,Bundesliga
690,Julian Weigl,,27,1.86,Germany,Bad Aibling,15,30,midfield - Defensive Midfield,8,right,Bor. M'gladbach,6/30/2023,9/1/2022,Sports360 GmbH,Puma,Bundesliga
868,Serhou Guirassy,Serhou Yadaly Guirassy,27,1.87,Guinea  France,Arles,10,15,Attack - Centre-Forward,9,right,VfB Stuttgart,6/30/2023,9/1/2022,Relatives,,Bundesliga
908,Nikola Soldo,,22,1.89,Croatia,Stuttgart,1.5,1.8,Defender - Centre-Back,5,right,1.FC Köln,6/30/2025,9/1/2022,P&P Sport ...,,Bundesliga
935,Tjark Ernst,,20,1.93,Germany,Stuttgart,0.4,0.4,Goalkeeper,12,both,Hertha BSC,6/30/2026,9/1/2022,BMS Sportconsulting ...,,Bundesliga
1018,Kenan Karaman,,29,1.89,Turkey  Germany,Stuttgart,1.4,3.5,Attack - Centre-Forward,19,right,FC Schalke 04,6/30/2025,9/1/2022,EMG Mundial,adidas,Bundesliga
1021,Marko Johansson,,24,1.94,Sweden  Serbia,Malmö,0.5,0.9,Goalkeeper,26,right,VfL Bochum,6/30/2023,9/1/2022,BMS Sportconsulting ...,,Bundesliga
1087,Sergiño Dest,Sergiño Gianni Dest,22,1.71,United States  Netherlands,Almere,12,30,Defender - Right-Back,21,right,AC Milan,6/30/2023,9/1/2022,CAA Stellar,,SerieA
1094,Aster Vranckx,Aster Jan Vranckx,20,1.83,Belgium  DR Congo,Erps-Kwerps,8.5,10,midfield - Central Midfield,40,right,AC Milan,6/30/2023,9/1/2022,DW Sports Management,Nike,SerieA
1111,Francesco Acerbi,,35,1.92,Italy,Vizzolo Predabissi,4,15,Defender - Centre-Back,15,left,Inter,6/30/2023,9/1/2022,P&P Sport ...,Nike,SerieA
1312,Yann Karamoh,Yann Dorgelès Isaac Karamoh,24,1.85,Cote d'Ivoire  France,Abidjan,3,10,Attack - Left Winger,7,right,Torino,6/30/2023,9/1/2022,One Team Management,,SerieA
1347,Stefan Posch,,26,1.9,Austria,Judenburg,10,14,Defender - Centre-Back,3,right,Bologna,6/30/2023,9/1/2022,ROGON,,SerieA
1381,Armando Izzo,,31,1.83,Italy,Napoli,,25,Defender - Centre-Back,55,right,Monza,6/30/2023,9/1/2022,G.E.V. ...,,Other
1408,Sebastian Walukiewicz,Sebastian Wiktor Walukiewicz,23,1.88,Poland,Gorzów Wielkopolski,3,10,Defender - Centre-Back,4,right,FC Empoli,6/30/2023,9/1/2022,,,Other
1422,Jean-Daniel Akpa Akpro,,30,1.8,Cote d'Ivoire  France,Toulouse,1.4,3.5,midfield - Central Midfield,11,right,FC Empoli,6/30/2023,9/1/2022,P&P Sport ...,,Other
1426,Marko Pjaca,,28,1.86,Croatia,Zagreb,2.2,18,Attack - Left Winger,14,right,FC Empoli,6/30/2023,9/1/2022,World Soccer Agency,Nike,Other
1455,Krzysztof Piatek,Krzysztof Piątek,27,1.83,Poland,Dzierżoniów,8.5,40,Attack - Centre-Forward,99,right,Salernitana,6/30/2023,9/1/2022,Fabryka Futbolu,adidas,Other
1494,Ethan Ampadu,Ethan Kwame Colm Raymond Ampadu,22,1.83,Wales  England,Exeter,9,15,Defender - Centre-Back,4,right,Spezia Calcio,6/30/2023,9/1/2022,Platinum One Group,,Other
1530,Fabio Depaoli,,26,1.82,Italy,Riva del Garda,3,5,Defender - Right-Back,29,right,Hellas Verona,6/30/2023,9/1/2022,CAA Base Ltd,adidas,SerieA
1538,Simone Verdi,,30,1.74,Italy,Broni,4.5,25,midfield - Attacking Midfield,7,both,Hellas Verona,6/30/2023,9/1/2022,Donato Orgnoni,adidas,SerieA
1540,Ajdin Hrustic,,26,1.8,Australia  Bosnia-Herzegovina,Melbourne,1.8,3,midfield - Attacking Midfield,10,left,Hellas Verona,6/30/2026,9/1/2022,LIAN Sports Group,Nike,SerieA
1552,Bruno Amione,Bruno Agustín Amione,21,1.87,Argentina  Italy,Calchaquí,2.7,2.7,Defender - Centre-Back,2,left,Sampdoria,6/30/2023,9/1/2022,Estilo 10,,SerieA
1571,Ignacio Pussetto,,27,1.8,Argentina  Italy,Cañada Rosquín,2.5,10,Attack - Right Winger,18,right,Sampdoria,6/30/2023,9/1/2022,MVP Group,,SerieA
1594,Soualiho Meïté,,29,1.87,France  Cote d'Ivoire,Paris,4,13,midfield - Central Midfield,28,right,Cremonese,6/30/2023,9/1/2022,VV Consulting,,Other
1636,Marcos Alonso,Marcos Alonso Mendoza,32,1.89,Spain,Madrid,7,45,Defender - Left-Back,17,left,Barcelona,6/30/2024,9/1/2022,LIAN Sports Group,Nike,LaLiga
1693,Umar Sadiq,Umar Sadiq Mesbah,26,1.91,Nigeria,Kaduna,18,18,Attack - Centre-Forward,25,right,Real Sociedad,6/30/2028,9/1/2022,CAA Base Ltd,Nike,LaLiga
1704,Johan Mojica,Johan Andrés Mojica Palacio,30,1.85,Colombia  Spain,Santiago de Cali,5,5,Defender - Left-Back,12,left,Villarreal,6/30/2026,9/1/2022,LF Sport Management,Nike,LaLiga
1789,Ilaix Moriba,Moriba Kourouma Kourouma,20,1.85,Guinea  Spain,Conakry,6,25,midfield - Central Midfield,8,right,Valencia,6/30/2023,9/1/2022,ROGON,Nike,LaLiga
1791,Justin Kluivert,Justin Dean Kluivert,24,1.72,Netherlands  Suriname,Zaandam,12,25,Attack - Left Winger,9,both,Valencia,6/30/2023,9/1/2022,Team Raiola,adidas,LaLiga
1839,Jörgen Strand Larsen,Jørgen Strand Larsen,23,1.93,Norway,Halden,11,11,Attack - Centre-Forward,18,right,Celta de Vigo,6/30/2028,9/1/2022,TPSportManagement,,LaLiga
1853,Jordan Amavi,Jordan Kévin Amavi,29,1.76,France  Senegal,Toulon,3,16,Defender - Left-Back,12,left,Getafe,6/30/2023,9/1/2022,Classico,,LaLiga
1885,Abde Ezzalzouli,عبد الصمد الزلزولي / Abdessamad Ezzalzouli,21,1.77,Morocco  Spain,Beni Melal,8,8,Attack - Left Winger,12,right,CA Osasuna,6/30/2023,9/1/2022,INTEGRAL ADVISING ...,,LaLiga
1891,Paulo Gazzaniga,Paulo Dino Gazzaniga Farias,31,1.96,Argentina  Italy,Murphy,2.5,4,Goalkeeper,13,right,Girona,6/30/2023,9/1/2022,LGT Football,adidas,LaLiga
1893,Toni Fuidias,Toni Fuidias Ribera,22,1.95,Spain,Berga,0.3,0.3,Goalkeeper,26,right,Girona,6/30/2025,9/1/2022,Relatives,,LaLiga
1903,Oriol Romeu,Oriol Romeu Vidal,31,1.83,Spain,Ulldecona,5,12,midfield - Defensive Midfield,18,right,Girona,6/30/2025,9/1/2022,MagicPlayers,,LaLiga
1911,Toni Villa,Laureano Antonio Villa Suárez,28,1.72,Spain,Lorquí,2.5,6,Attack - Left Winger,12,right,Girona,6/30/2025,9/1/2022,JV SPORTS SL,,LaLiga
1941,Martin Braithwaite,Martin Christensen Braithwaite,31,1.77,Denmark,Esbjerg,6,12,Attack - Centre-Forward,17,right,Espanyol,6/30/2025,9/1/2022,HCM Sports ...,Nike,LaLiga
1948,Abdul Mumin,Abdul Mumin Suleman,24,1.88,Ghana  Nigeria,Accra,1.5,3,Defender - Centre-Back,16,right,Rayo Vallecano,6/30/2026,9/1/2022,HC,,LaLiga
1975,Matija Nastasić,Матија Настасић,30,1.88,Serbia,Valjevo,1.5,22,Defender - Centre-Back,2,left,RCD Mallorca,6/30/2023,9/1/2022,LIAN Sports Group,,LaLiga
2006,Gonzalo Melero,Gonzalo Melero Manzanares,29,1.83,Spain,Madrid,4,7.5,midfield - Central Midfield,3,right,UD Almería,6/30/2026,9/1/2022,Bahía Internacional,,LaLiga
2010,Lázaro,,21,1.81,Brazil,Belo Horizonte,5,7,Attack - Left Winger,14,right,UD Almería,6/30/2028,9/1/2022,TFM Agency,Nike,LaLiga
2014,El Bilal Touré,,21,1.85,Mali  Cote d'Ivoire,Adjamé,10,11,Attack - Centre-Forward,9,both,UD Almería,6/30/2028,9/1/2022,,,LaLiga
2036,Kenedy,,27,1.82,Brazil,Santa Rita do Sapucaí,3,12,Attack - Left Winger,19,left,Real Valladolid,6/30/2027,9/1/2022,,adidas,LaLiga
2077,Nicolás Fernández Mercau,Nicolás Ezequiel Fernández Mercau,23,1.72,Argentina  Spain,Buenos Aires,2,2.5,Defender - Left-Back,22,left,Elche CF,6/30/2027,9/1/2022,PRI Sports,,LaLiga
2110,Carlos Soler,Carlos Soler Barragán,26,1.8,Spain,Valencia,30,50,midfield - Central Midfield,28,right,Paris SG,6/30/2027,9/1/2022,Promoesport,adidas,Ligue1
2151,Christopher Wooh,,21,1.91,Cameroon  France,Louvres,6,6,Defender - Centre-Back,15,right,Rennes,6/30/2026,9/1/2022,Classico,,Ligue1
2170,Amine Gouiri,Amine Ferid Gouiri / امين غويري,23,1.81,France  Algeria,Bourgoin-Jallieu,35,50,Attack - Centre-Forward,19,right,Rennes,6/30/2027,9/1/2022,,,Ligue1
2188,Amine Harit,أمين حاريث,25,1.8,Morocco  France,Pontoise,14,30,midfield - Attacking Midfield,77,right,Marseille,6/30/2023,9/1/2022,Sport Cover,adidas,Ligue1
2218,Gaëtan Laborde,,29,1.81,France,Mont-de-Marsan,14,18,Attack - Centre-Forward,24,left,OGC Nice,6/30/2026,9/1/2022,CH Conseil et ...,Nike,Ligue1
2254,André Gomes,André Filipe Tavares Gomes,29,1.88,Portugal,Vila Nova de Gaia,14,30,midfield - Central Midfield,28,right,LOSC Lille,6/30/2023,9/1/2022,Wasserman,Nike,Ligue1
2261,Adam Ounas,أدم أوناس,26,1.72,Algeria  France,Chambray-lès-Tours,8,10,Attack - Right Winger,11,left,LOSC Lille,6/30/2024,9/1/2022,Henri Zambelli,,Ligue1
2279,Jean Onana,Jean Emile Junior Onana Onana,23,1.89,Cameroon,Yaoundé,4,5,midfield - Defensive Midfield,6,right,Lens,6/30/2027,9/1/2022,Sferico Sports ...,adidas,Ligue1
2319,Ignatius Ganago,Ignatius Kpene Ganago,24,1.76,Cameroon  Nigeria,Douala,4,8,Attack - Centre-Forward,14,right,FC Nantes,6/30/2026,9/1/2022,Wilders Sport,Puma,Ligue1
2322,Bingourou Kamara,,26,1.95,Senegal  France,Longjumeau,0.8,2.5,Goalkeeper,90,right,Montpellier,6/30/2023,9/1/2022,W.Egal O.S.F.M.,,Ligue1
2391,Noah Jean Holm,Noah Emmanuel Jean Holm,21,,Norway,Drammen,0.8,0.8,Attack - Centre-Forward,7,,Stade Reims,6/30/2023,9/1/2022,Gol International,Nike,Ligue1
2394,Vito Mannone,,35,1.89,Italy,Desio,0.3,3.5,Goalkeeper,1,right,FC Lorient,6/30/2023,9/1/2022,,,Ligue1
2410,Adil Aouchiche,,20,1.81,France  Algeria,Le Blanc-Mesnil,3,10,midfield - Attacking Midfield,10,right,FC Lorient,6/30/2026,9/1/2022,Sport Cover,Nike,Ligue1
2417,Siriné Doucouré,Siriné Ckene Doucouré,21,1.93,France  Mali,Nogent-sur-Marne,0.5,0.5,Attack - Centre-Forward,29,right,FC Lorient,6/30/2026,9/1/2022,,,Ligue1
2433,Theocharis Tsingaras,Θεοχάρης Τσιγγάρας,22,1.75,Greece,Chalkidiki,1.8,1.8,midfield - Central Midfield,24,right,Toulouse,6/30/2023,9/1/2022,SPORTS ACTION,,Ligue1
2437,Veljko Birmancevic,Вељко Бирманчевић,25,1.79,Serbia,Šabac,3.5,4,Attack - Left Winger,19,both,Toulouse,6/30/2026,9/1/2022,INTERNATIONAL ...,,Ligue1
2445,Mateusz Lis,,26,1.92,Poland,Żary,1,1.1,Goalkeeper,1,right,Troyes,6/30/2023,9/1/2022,Fabryka Futbolu,,Ligue1
2457,Lucien Agoumé,Lucien Jefferson Agoumé,21,1.85,France  Cameroon,Yaoundé,7,7,midfield - Defensive Midfield,8,right,Troyes,6/30/2023,9/1/2022,ND SPORTS MANAGEMENT,,Ligue1
2492,Taïryk Arconte,,19,1.81,France  Guadeloupe,Les Abymes,0.4,0.4,Attack - Right Winger,97,,Stade Brestois,6/30/2026,9/1/2022,,,Ligue1
2506,Yan Valery,,24,1.8,Tunisia  France,Champigny-sur-Marne,2.5,7,Defender - Right-Back,94,right,Angers SCO,6/30/2026,9/1/2022,CAA Base Ltd,,Ligue1
28,Wesley Fofana,,22,1.86,France  Cote d'Ivoire,Marseille,65,65,Defender - Centre-Back,33,right,Chelsea,6/30/2029,8/31/2022,TTMA,adidas,EPL
290,Sasa Kalajdzic,Saša Kalajdžić,25,2,Austria  Serbia,Wien,18,25,Attack - Centre-Forward,18,right,Wolves,6/30/2027,8/31/2022,SPOCS Global Sports,,EPL
841,Mergim Berisha,,25,1.88,Germany,Berchtesgaden,12,12,Attack - Centre-Forward,11,right,FC Augsburg,6/30/2023,8/31/2022,ROGON,adidas,Bundesliga
939,Agustín Rogel,Agustín Maximiliano Rogel Paita,25,1.91,Uruguay  Italy,Montevideo,3,4.5,Defender - Centre-Back,3,right,Hertha BSC,6/30/2026,8/31/2022,Ariel Krasouski,,Bundesliga
1143,Leandro Paredes,Leandro Daniel Paredes,28,1.8,Argentina,San Justo,12,40,midfield - Defensive Midfield,32,right,Juventus,6/30/2023,8/31/2022,DCGLOBALSL,Nike,SerieA
1200,Mady Camara,Mohamed Mady Camara,26,1.82,Guinea,Matam,11,15,midfield - Central Midfield,20,right,AS Roma,6/30/2023,8/31/2022,CAA Base Ltd,adidas,SerieA
1281,Armand Laurienté,Armand Gaëtan Laurienté,24,1.71,France  Guadeloupe,Gonesse,18,18,Attack - Left Winger,45,right,Sassuolo,6/30/2027,8/31/2022,SRM,,SerieA
1386,Nicolò Rovella,,21,1.79,Italy,Segrate,12,12,midfield - Defensive Midfield,6,right,Monza,6/30/2023,8/31/2022,Gr Sports,,Other
1486,Rémi Oudin,,26,1.86,France,Châlons-en-Champagne,4,11,Attack - Right Winger,28,left,Lecce,6/30/2023,8/31/2022,Carrierefoot,,Other
1577,Marco Carnesecchi,,22,1.91,Italy,Rimini,13,13,Goalkeeper,12,right,Cremonese,6/30/2023,8/31/2022,Italian Managers ...,Puma,Other
1866,Munir El Haddadi,منير الحدادي,27,1.75,Morocco  Spain,El Escorial,4,12,Attack - Centre-Forward,17,left,Getafe,6/30/2023,8/31/2022,Feel Winner,adidas,LaLiga
1917,Álvaro Fernández,Álvaro Fernández Llorente,25,1.86,Spain,Arnedo,3,4,Goalkeeper,25,left,Espanyol,6/30/2023,8/31/2022,Footfeel ISM,,LaLiga
1952,Pep Chavarría,Josep María Chavarría Pérez,25,1.74,Spain,Figueres,1,1,Defender - Left-Back,15,left,Rayo Vallecano,6/30/2027,8/31/2022,Promoesport,,LaLiga
2201,Joe Bryan,Joseph Edward Bryan,29,1.7,England,Bristol,3,7,Defender - Left-Back,15,left,OGC Nice,6/30/2023,8/31/2022,CAA Base Ltd,,Ligue1
2229,Saël Kumbedi,Saël Kumbedi Nseke,18,1.75,France  DR Congo,Stains,8,8,Defender - Right-Back,20,right,Olympique Lyon,6/30/2027,8/31/2022,Mickael Libong,,Ligue1
2286,Alexis Claude-Maurice,,24,1.75,France  Guadeloupe,Noisy-le-Grand,5,12,midfield - Attacking Midfield,18,right,Lens,6/30/2023,8/31/2022,Sport Cover,,Ligue1
2461,Ante Palaversa,,23,1.87,Croatia,Split,0.8,5,midfield - Central Midfield,15,right,Troyes,6/30/2025,8/31/2022,Stars & Friends,,Ligue1
136,Antony,,23,1.72,Brazil,São Paulo,70,75,Attack - Right Winger,21,left,Man Utd,6/30/2027,8/30/2022,4ComM,Puma,EPL
145,Cristian Romero,Cristian Gabriel Romero,25,1.85,Argentina,Córdoba,60,60,Defender - Centre-Back,17,right,Tottenham,6/30/2027,8/30/2022,Ciro Palermo,,EPL
640,Callum Hudson-Odoi,Callum James Hudson-Odoi,22,1.77,England  Ghana,London,17,35,Attack - Left Winger,17,right,B. Leverkusen,6/30/2023,8/30/2022,Relatives,adidas,Bundesliga
701,Nathan Ngoumou,Nathan Ngoumou Minpole,23,1.83,France  Cameroon,Toulouse,5,7,Attack - Right Winger,19,right,Bor. M'gladbach,6/30/2027,8/30/2022,NexSt11,Puma,Bundesliga
994,Sepp van den Berg,,21,1.92,Netherlands,Zwolle,5,5,Defender - Centre-Back,5,right,FC Schalke 04,6/30/2023,8/30/2022,Key United,,Bundesliga
1369,Joshua Zirkzee,Joshua Orobosa Zirkzee,21,1.93,Netherlands  Nigeria,Schiedam,9,11,Attack - Centre-Forward,11,right,Bologna,6/30/2026,8/30/2022,Sports Invest UK ltd,Nike,SerieA
1560,Harry Winks,Harry Billy Winks,27,1.78,England,Hemel Hempstead,12,40,midfield - Defensive Midfield,20,right,Sampdoria,6/30/2023,8/30/2022,CAA Stellar,adidas,SerieA
1656,Sergio Reguilón,Sergio Reguilón Rodríguez,26,1.78,Spain,Madrid,15,28,Defender - Left-Back,3,left,Atlético Madrid,6/30/2023,8/30/2022,Sports Invest UK ltd,,LaLiga
2109,Fabián Ruiz,Fabián Ruiz Peña,27,1.89,Spain,Los Palacios y Villafranca,38,60,midfield - Central Midfield,8,left,Paris SG,6/30/2027,8/30/2022,YOU FIRST,adidas,Ligue1
2589,Youssouf Koné,,27,1.74,Mali,Bamako,1.8,9,Defender - Left-Back,99,left,AC Ajaccio,6/30/2023,8/30/2022,ISF SPORTS,,Other
207,Lucas Paquetá,,25,1.8,Brazil  Portugal,Paquetá,45,45,midfield - Attacking Midfield,11,left,West Ham,6/30/2027,8/29/2022,Brazil Soccer,Nike,EPL
383,Renan Lodi,Renan Augusto Lodi dos Santos,25,1.73,Brazil  Italy,Serrana,20,50,Defender - Left-Back,32,left,Nottm Forest,6/30/2023,8/29/2022,,,Other
1081,Malick Thiaw,Malick Laye Thiaw,21,1.94,Germany  Finland,Düsseldorf,15,15,Defender - Centre-Back,28,right,AC Milan,6/30/2027,8/29/2022,Unique Sports Group,,SerieA
1330,Kingsley Ehizibue,Kingsley Osezele Ehizibue,27,1.89,Netherlands  Nigeria,München,2.3,2.5,Defender - Right-Back,19,right,Udinese Calcio,6/30/2026,8/29/2022,Iconics Management,,SerieA
1358,Nikola Moro,,25,1.85,Croatia,Split,7,9,midfield - Defensive Midfield,6,right,Bologna,6/30/2023,8/29/2022,VPA Sports,,SerieA
1435,Flavius Daniliuc,Flavius David Daniliuc,22,1.88,Austria,Wien,8,8,Defender - Centre-Back,5,right,Salernitana,6/30/2026,8/29/2022,Sports360 GmbH,,Other
1599,Felix Afena-Gyan,Felix Ohene Afena-Gyan,20,1.75,Ghana,Sunyani,5.5,6,Attack - Centre-Forward,20,right,Cremonese,,8/29/2022,Arthurlegacy Sports ...,,Other
1695,Alexander Sørloth,,27,1.95,Norway,Trondheim,12,20,Attack - Centre-Forward,19,left,Real Sociedad,6/30/2023,8/29/2022,Keypass AS,Nike,LaLiga
1795,Edinson Cavani,Édinson Roberto Cavani Gómez,36,1.84,Uruguay  Italy,Salto,4,60,Attack - Centre-Forward,7,right,Valencia,6/30/2024,8/29/2022,,Nike,LaLiga
1989,Tino Kadewere,Philana Tinotenda Kadewere,27,1.83,Zimbabwe,Harare,5,14,Attack - Centre-Forward,17,right,RCD Mallorca,6/30/2023,8/29/2022,P.P.M.,,LaLiga
2213,Sofiane Diop,,22,1.75,France  Senegal,Tours,18,20,Attack - Left Winger,10,right,OGC Nice,6/30/2027,8/29/2022,Classico,adidas,Ligue1
2562,Maximiliano Caufriez,,26,1.89,Belgium,Saint-Ghislain,1.8,1.8,Defender - Centre-Back,5,right,Clermont Foot,6/30/2023,8/29/2022,Gallea Gestion S.A,Puma,Other
1209,Andrea Belotti,,29,1.81,Italy,Calcinate,9,40,Attack - Centre-Forward,11,right,AS Roma,6/30/2023,8/28/2022,,adidas,SerieA
2059,Brian Ocampo,Brian Alexis Ocampo Ferreira,23,1.72,Uruguay,Florida,2,4,Attack - Left Winger,14,right,Cádiz CF,6/30/2026,8/28/2022,Faro Sports,,LaLiga
1181,Rasmus Højlund,Rasmus Winther Højlund,20,1.91,Denmark,Copenhagen,35,35,Attack - Centre-Forward,17,left,Atalanta BC,6/30/2027,8/27/2022,,,SerieA
1522,Isak Hien,Isak Malcolm Kwaku Hien,24,1.91,Sweden  Burkina Faso,Kista,6,6,Defender - Centre-Back,6,right,Hellas Verona,6/30/2026,8/27/2022,BHM Sports Agency,,SerieA
192,Alexander Isak,,23,1.92,Sweden  Eritrea,Solna,50,50,Attack - Centre-Forward,14,right,Newcastle,6/30/2028,8/26/2022,Universal Twenty Two,adidas,EPL
372,Neal Maupay,,26,1.73,France  Argentina,Versailles,13,22,Attack - Centre-Forward,20,right,Everton,6/30/2025,8/26/2022,P&P Sport ...,Puma,EPL
1158,Arkadiusz Milik,Arkadiusz Krystian Milik,29,1.86,Poland,Tychy,10,40,Attack - Centre-Forward,14,left,Juventus,6/30/2023,8/26/2022,F-MG.COM,adidas,SerieA
1470,Giuseppe Pezzella,,25,1.87,Italy,Napoli,3,6,Defender - Left-Back,97,left,Lecce,6/30/2023,8/26/2022,M.A.R.A.T. Football ...,,Other
1541,Yayah Kallon,,21,1.75,Sierra Leone,Kono,1.5,2,Attack - Right Winger,30,left,Hellas Verona,6/30/2023,8/26/2022,,,SerieA
1868,Juanmi Latasa,Juan Miguel Latasa Fernández Layos,22,1.92,Spain,Madrid,1,1,Attack - Centre-Forward,14,left,Getafe,6/30/2023,8/26/2022,Niagara Sports ...,,LaLiga
2060,Théo Bongonda,Théo Bongonda Mbul'Ofeko Batombo,27,1.77,DR Congo  Belgium,Charleroi,4,11,Attack - Right Winger,10,left,Cádiz CF,6/30/2026,8/26/2022,Libera Sports,,LaLiga
2484,Mahdi Camara,,24,1.78,France  The Gambia,Martigues,3,6,midfield - Central Midfield,45,right,Stade Brestois,6/30/2023,8/26/2022,TTMA,,Ligue1
1465,Samuel Umtiti,Samuel Yves Umtiti,29,1.82,France  Cameroon,Yaoundé,4,70,Defender - Centre-Back,93,left,Lecce,6/30/2023,8/25/2022,AC Talent,Puma,Other
1787,André Almeida,Domingos André Ribeiro Almeida,22,1.76,Portugal,Guimarães,15,15,midfield - Central Midfield,18,right,Valencia,6/30/2028,8/25/2022,Jorge Pires,,LaLiga
2215,Nicolas Pépé,,27,1.83,Cote d'Ivoire  France,Mantes-la-Jolie,22,75,Attack - Right Winger,29,left,OGC Nice,6/30/2023,8/25/2022,LF360,Nike,Ligue1
2464,Papa Ndiaga Yade,,23,1.85,Senegal,Saint-Louis,1.8,3,Attack - Left Winger,26,left,Troyes,6/30/2023,8/25/2022,World Elites,,Ligue1
1938,José Carlos Lazo,José Carlos Lazo Romero,27,1.78,Spain,Sanlúcar de Barrameda,2.5,3.5,Attack - Left Winger,16,both,Espanyol,6/30/2027,8/24/2022,Niagara Sports ...,,LaLiga
2011,Adrián Embarba,Adrián Embarba Blazquez,31,1.73,Spain,Madrid,3,8,Attack - Right Winger,10,right,UD Almería,6/30/2026,8/24/2022,,,LaLiga
2178,Eric Bailly,Eric Bertrand Bailly,29,1.87,Cote d'Ivoire,Bingerville,8,35,Defender - Centre-Back,3,right,Marseille,6/30/2023,8/24/2022,AMS CONSULTING,Puma,Ligue1
2467,Rony Lopes,Marcos Paulo Mesquita Lopes,27,1.74,Portugal  Brazil,Belém,4,28,Attack - Right Winger,11,left,Troyes,6/30/2023,8/24/2022,Beckster Int.,adidas,Ligue1
2611,Yoann Touzghar,,36,1.8,Tunisia  France,Avignon,0.5,1.75,Attack - Centre-Forward,9,right,AC Ajaccio,6/30/2024,8/24/2022,AGJ SP MGMT,,Other
200,Emerson,,28,1.76,Italy  Brazil,Santos,12,30,Defender - Left-Back,33,left,West Ham,6/30/2026,8/23/2022,PS Sports,adidas,EPL
1778,Cenk Özkacar,,22,1.9,Turkey,Izmir,1.8,2,Defender - Centre-Back,15,left,Valencia,6/30/2023,8/23/2022,SEG,,LaLiga
2326,Christopher Jullien,,30,1.96,France,Lagny-sur-Marne,3.5,6.5,Defender - Centre-Back,6,right,Montpellier,6/30/2025,8/23/2022,Classico,,Ligue1
